name	format	file	total	cjk	pua	extra	CJK Basic	CJK Ext-A	CJK Ext-B	CJK Ext-C	CJK Ext-D	CJK Ext-E	CJK Ext-F	CJK Ext-G	CJK Ext-H	CJK Ext-I	CJK Comp	PUA-BMP	PUA-SMP1	PUA-SMP2
Aa古典刻本宋	ttf	Aa字库/古典刻本宋 AaGuDianKeBenSong2.ttf	10023	8877	63	1083	8877	0	0	0	0	0	0	0	0	0	0	63	0	0
Aa古典刻本宋	ttf	Aa字库/古典刻本宋AaGuDianKeBenSong-2.ttf	10023	8877	63	1083	8877	0	0	0	0	0	0	0	0	0	0	63	0	0
Aa古典明朝楷 (非商业使用)	ttf	Aa字库/古典明朝楷 AaGuDianMingChaoKai-2.ttf	22083	20902	63	1118	20902	0	0	0	0	0	0	0	0	0	0	63	0	0
Aa古典明朝楷	ttf	Aa字库/古典明朝楷 AaGuDianMingChaoKai.ttf	22050	20902	63	1085	20902	0	0	0	0	0	0	0	0	0	0	63	0	0
Aa楷宋	ttf	Aa字库/楷宋 AaKaiSong2.ttf	7942	6763	63	1116	6763	0	0	0	0	0	0	0	0	0	0	63	0	0
Aa楷宋	ttf	Aa字库/楷宋2万字 AaKaiSong2WanZi2.ttf	22093	20904	73	1116	20902	0	0	0	0	0	0	0	0	0	2	73	0	0
Aa楷宋	ttf	Aa字库/楷宋简繁 AaKaiSongJianFan.ttf	10056	8877	63	1116	8877	0	0	0	0	0	0	0	0	0	0	63	0	0
AdobeFangsongStd-Regular	otf	Adobe/其他字体/Adobe Fangsong Std.otf	37540	27521	2347	7672	20910	6582	8	0	0	0	0	0	0	0	21	2347	0	0
AdobeHeitiStd-Regular	otf	Adobe/其他字体/Adobe Heiti Std.otf	37538	27521	2347	7670	20910	6582	8	0	0	0	0	0	0	0	21	2347	0	0
AdobeKaitiStd-Regular	otf	Adobe/其他字体/Adobe Kaiti Std.otf	37540	27521	2347	7672	20910	6582	8	0	0	0	0	0	0	0	21	2347	0	0
AdobeSongStd-Light	otf	Adobe/其他字体/Adobe Song Std.otf	37538	27521	2347	7670	20910	6582	8	0	0	0	0	0	0	0	21	2347	0	0
思源宋体 Bold	otf	Adobe/思源宋体 (Source Han Serif) v2.003/OTF/SimplifiedChinese/SourceHanSerifSC-Bold.otf	44779	30201	0	14578	20992	6592	2057	46	33	108	4	3	0	0	366	0	0	0
思源宋体 ExtraLight	otf	Adobe/思源宋体 (Source Han Serif) v2.003/OTF/SimplifiedChinese/SourceHanSerifSC-ExtraLight.otf	44779	30201	0	14578	20992	6592	2057	46	33	108	4	3	0	0	366	0	0	0
思源宋体 Heavy	otf	Adobe/思源宋体 (Source Han Serif) v2.003/OTF/SimplifiedChinese/SourceHanSerifSC-Heavy.otf	44779	30201	0	14578	20992	6592	2057	46	33	108	4	3	0	0	366	0	0	0
